table_name,type,column_count,columns_json,indexes_json,row_count,sql,candidate
calculation_rule_registry,table,8,"[{""cid"": 0, ""name"": ""report_id"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 1}, {""cid"": 1, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 2}, {""cid"": 2, ""name"": ""cell"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 3}, {""cid"": 3, ""name"": ""formula_legacy"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 4, ""name"": ""formula_family"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 5, ""name"": ""refs"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 6, ""name"": ""rule_status"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 7, ""name"": ""branch"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]","[[0, ""sqlite_autoindex_calculation_rule_registry_1"", 1, ""pk"", 0]]",163,"CREATE TABLE calculation_rule_registry(report_id TEXT NOT NULL, period_id TEXT NOT NULL, cell TEXT NOT NULL, formula_legacy TEXT, formula_family TEXT, refs TEXT, rule_status TEXT, branch TEXT, PRIMARY KEY(report_id,period_id,cell))",True
dim_period,table,12,"[{""cid"": 0, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 1}, {""cid"": 1, ""name"": ""period_month"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 0}, {""cid"": 2, ""name"": ""period_date"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 3, ""name"": ""fiscal_year"", ""type"": ""INTEGER"", ""notnull"": 1, ""default"": null, ""pk"": 0}, {""cid"": 4, ""name"": ""fiscal_month"", ""type"": ""INTEGER"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 5, ""name"": ""label_short"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 6, ""name"": ""label_long"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 7, ""name"": ""is_total_marker"", ""type"": ""INTEGER"", ""notnull"": 1, ""default"": ""0"", ""pk"": 0}, {""cid"": 8, ""name"": ""sort_order"", ""type"": ""INTEGER"", ""notnull"": 1, ""default"": null, ""pk"": 0}, {""cid"": 9, ""name"": ""status"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": ""'ACTIVE'"", ""pk"": 0}, {""cid"": 10, ""name"": ""created_at"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": ""CURRENT_TIMESTAMP"", ""pk"": 0}, {""cid"": 11, ""name"": ""updated_at"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]","[[0, ""idx_dim_period_month"", 1, ""c"", 0], [1, ""sqlite_autoindex_dim_period_1"", 1, ""pk"", 0]]",25,"CREATE TABLE dim_period (
    period_id TEXT PRIMARY KEY,
    period_month TEXT NOT NULL,
    period_date TEXT,
    fiscal_year INTEGER NOT NULL,
    fiscal_month INTEGER,
    label_short TEXT,
    label_long TEXT,
    is_total_marker INTEGER NOT NULL DEFAULT 0,
    sort_order INTEGER NOT NULL,
    status TEXT NOT NULL DEFAULT 'ACTIVE',
    created_at TEXT NOT NULL DEFAULT CURRENT_TIMESTAMP,
    updated_at TEXT,
    CHECK (is_total_marker IN (0, 1)),
    CHECK (status IN ('ACTIVE', 'INACTIVE', 'DRAFT'))
)",False
dim_period_rate,table,12,"[{""cid"": 0, ""name"": ""period_rate_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 1}, {""cid"": 1, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 0}, {""cid"": 2, ""name"": ""rate_type"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 0}, {""cid"": 3, ""name"": ""uf_value"", ""type"": ""REAL"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 4, ""name"": ""uf_known_value"", ""type"": ""REAL"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 5, ""name"": ""uf_estimated_value"", ""type"": ""REAL"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 6, ""name"": ""monthly_projection_rate"", ""type"": ""REAL"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 7, ""name"": ""source_policy"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": ""'DB_RULES_GENERATOR'"", ""pk"": 0}, {""cid"": 8, ""name"": ""approval_status"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": ""'DRAFT'"", ""pk"": 0}, {""cid"": 9, ""name"": ""notes"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 10, ""name"": ""created_at"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": ""CURRENT_TIMESTAMP"", ""pk"": 0}, {""cid"": 11, ""name"": ""updated_at"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]","[[0, ""idx_dim_period_rate_period"", 0, ""c"", 0], [1, ""sqlite_autoindex_dim_period_rate_2"", 1, ""u"", 0], [2, ""sqlite_autoindex_dim_period_rate_1"", 1, ""pk"", 0]]",24,"CREATE TABLE dim_period_rate (
    period_rate_id TEXT PRIMARY KEY,
    period_id TEXT NOT NULL,
    rate_type TEXT NOT NULL,
    uf_value REAL,
    uf_known_value REAL,
    uf_estimated_value REAL,
    monthly_projection_rate REAL,
    source_policy TEXT NOT NULL DEFAULT 'DB_RULES_GENERATOR',
    approval_status TEXT NOT NULL DEFAULT 'DRAFT',
    notes TEXT,
    created_at TEXT NOT NULL DEFAULT CURRENT_TIMESTAMP,
    updated_at TEXT,
    UNIQUE (period_id, rate_type),
    FOREIGN KEY (period_id) REFERENCES dim_period(period_id),
    CHECK (rate_type IN ('MONTH_END_CONFIRMED', 'MONTH_END_ESTIMATED', 'TOTAL_MARKER', 'SEPARATOR')),
    CHECK (source_policy IN ('DB_RULES_GENERATOR', 'ROOT_CONFIRMED_AFTER_ADMIN_APPROVAL')),
    CHECK (approval_status IN ('DRAFT', 'REQUESTED', 'APPROVED', 'REJECTED'))
)",False
june_input_template,table,6,"[{""cid"": 0, ""name"": ""report_id"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 1}, {""cid"": 1, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 2}, {""cid"": 2, ""name"": ""cell"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 3}, {""cid"": 3, ""name"": ""expected_data_type"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 4, ""name"": ""input_status"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 5, ""name"": ""source_note"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]","[[0, ""sqlite_autoindex_june_input_template_1"", 1, ""pk"", 0]]",632,"CREATE TABLE june_input_template(report_id TEXT NOT NULL, period_id TEXT NOT NULL, cell TEXT NOT NULL, expected_data_type TEXT, input_status TEXT, source_note TEXT, PRIMARY KEY(report_id,period_id,cell))",False
period,table,4,"[{""cid"": 0, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 1}, {""cid"": 1, ""name"": ""period_status"", ""type"": ""TEXT"", ""notnull"": 1, ""default"": null, ""pk"": 0}, {""cid"": 2, ""name"": ""is_locked"", ""type"": ""INTEGER"", ""notnull"": 1, ""default"": null, ""pk"": 0}, {""cid"": 3, ""name"": ""notes"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]","[[0, ""sqlite_autoindex_period_1"", 1, ""pk"", 0]]",2,"CREATE TABLE period(period_id TEXT PRIMARY KEY, period_status TEXT NOT NULL, is_locked INTEGER NOT NULL, notes TEXT)",False
pko_date_formula_text_fix_audit,table,10,"[{""cid"": 0, ""name"": ""mb_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 1, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 2, ""name"": ""report_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 3, ""name"": ""branch"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 4, ""name"": ""sheet_name"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 5, ""name"": ""cell"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 6, ""name"": ""action"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 7, ""name"": ""before_payload"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 8, ""name"": ""after_payload"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 9, ""name"": ""created_at"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]",[],141,"CREATE TABLE pko_date_formula_text_fix_audit (
  mb_id text,
  period_id text,
  report_id text,
  branch text,
  sheet_name text,
  cell text,
  action text,
  before_payload text,
  after_payload text,
  created_at text
)",True
pko_date_formula_text_fix_registry,table,9,"[{""cid"": 0, ""name"": ""mb_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 1, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 2, ""name"": ""report_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 3, ""name"": ""branch"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 4, ""name"": ""sheet_name"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 5, ""name"": ""cell"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 6, ""name"": ""formula_text_detected"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 7, ""name"": ""action"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 8, ""name"": ""created_at"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]",[],141,"CREATE TABLE pko_date_formula_text_fix_registry (
  mb_id text,
  period_id text,
  report_id text,
  branch text,
  sheet_name text,
  cell text,
  formula_text_detected text,
  action text,
  created_at text
)",False
pko_date_header_migration_audit,table,9,"[{""cid"": 0, ""name"": ""mb_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 1, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 2, ""name"": ""report_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 3, ""name"": ""sheet_name"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 4, ""name"": ""cell"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 5, ""name"": ""action"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 6, ""name"": ""before_payload"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 7, ""name"": ""after_payload"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 8, ""name"": ""created_at"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]",[],24,"CREATE TABLE pko_date_header_migration_audit (
  mb_id text,
  period_id text,
  report_id text,
  sheet_name text,
  cell text,
  action text,
  before_payload text,
  after_payload text,
  created_at text
)",True
pko_date_header_rule_registry,table,12,"[{""cid"": 0, ""name"": ""mb_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 1, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 1}, {""cid"": 2, ""name"": ""report_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 2}, {""cid"": 3, ""name"": ""sheet_name"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 3}, {""cid"": 4, ""name"": ""cell"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 4}, {""cid"": 5, ""name"": ""year"", ""type"": ""INTEGER"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 6, ""name"": ""month"", ""type"": ""INTEGER"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 7, ""name"": ""excel_formula"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 8, ""name"": ""iso_date"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 9, ""name"": ""number_format"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 10, ""name"": ""wbs_rule"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 11, ""name"": ""created_at"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]","[[0, ""sqlite_autoindex_pko_date_header_rule_registry_1"", 1, ""pk"", 0]]",24,"CREATE TABLE pko_date_header_rule_registry (
  mb_id text,
  period_id text,
  report_id text,
  sheet_name text,
  cell text,
  year integer,
  month integer,
  excel_formula text,
  iso_date text,
  number_format text,
  wbs_rule text,
  created_at text,
  primary key(period_id, report_id, sheet_name, cell)
)",True
pko_date_period_migration_audit,table,9,"[{""cid"": 0, ""name"": ""mb_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 1, ""name"": ""period_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 2, ""name"": ""report_id"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 3, ""name"": ""sheet_name"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 4, ""name"": ""cell"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 5, ""name"": ""action"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 6, ""name"": ""before_payload"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 7, ""name"": ""after_payload"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}, {""cid"": 8, ""name"": ""created_at"", ""type"": ""TEXT"", ""notnull"": 0, ""default"": null, ""pk"": 0}]",[],47,"CREATE TABLE pko_date_period_migration_audit (
  mb_id text,
  period_id text,
  report_id text,
  sheet_name text,
  cell text,
  action text,
  before_payload text,
  after_payload text,
  created_at text
)",True
