"id","question","answer","conflict"
"QA-001","Primer entregable a gerencia","Mostrar DB -> trigger/proceso -> Reporte Mayo 2026; demuestra Junio 2026; partir del reporte mas facil al mas dificil.","NO"
"QA-002","Que debe ver gerencia","Ver la DB y ver los Excel.","NO"
"QA-003","Demo no oficial con dudas","No. Si hay dudas se aclaran; para el reporte mas facil no deberian existir inconsistencias.","NO"
"QA-004","Reporte exacto prioritario","Irrelevante; se trabaja del mas facil al mas complejo.","NO"
"QA-005","Periodo MVP","Mayo 2026 primero; luego cerrar junio.","NO"
"QA-006","SQLite/cache local","Si, autorizado.","NO"
"QA-007","Procesos offline largos","Si, avisando estimacion y mostrando progreso/heartbeat.","NO"
"QA-008","Tiempo maximo interactivo","30 minutos.","NO"
"QA-009","Si estima mas de 30 minutos","Pedir autorizacion.","NO"
"QA-010","PDFs","Usar lo mas facil; usuario puede colaborar en comparacion visual y origen PDF desde Excel raiz.","NO"
"QA-011","PDFs criticos","Todos; el PDF es el reporte entregado a gerencia.","NO"
"QA-012","Trazabilidad","Por celda.","NO"
"QA-013","Tolerancia","Ya esta definida en contrato previo.","NO"
"QA-014","Aprobador","Solo Admin.","NO"
"QA-015","Revision Admin","Todo; Admin puede pedir revisar todo a D1.","NO"
"QA-016","Formulas legacy locked","Locked queda escrito en piedra. En periodo nuevo, incertidumbre genera alarma; si no se aclara se indica desde cuando; si se resuelve se anota resolucion.","NO"
"QA-017","Estilo visual","No necesariamente 100%. ","NO"
"QA-018","DONE gerencial","DB -> trigger/proceso -> Reporte 1 Mayo 2026; luego misma DB a Reporte 1 y 2, aumentando desde mas facil a mas complejo.","NO"
"QA-019","Fuente de verdad","DB, trazabilidad, acuerdos y paquete locked.","NO"
"QA-020","Cache offline","Si, pero cierre primero para continuar en IA en blanco sin perder contexto.","NO"
